Timestamp,How much practical knowledge have you gained from this session?,"Compared to before this session, how familiar are you with EDA?","Compared to before this session, how familiar are you with statistical analysis?",Are you inspired to learn more statistics?,Do you know the difference between a categorical and a continuous variable?,Please rate your level of ability for EDA prior to this session,Please rate your level of ability for EDA after this session,Please rate your level of understanding of statistical analysis results prior to this session,Please rate your level of understanding of statistical analysis results after this session
11/6/17 14:08,Some practical knowledge.,Equally familiar.,Equally familiar.,Maybe,Yes,3,3,3,3
11/6/17 14:09,Some practical knowledge.,Equally familiar.,Equally familiar.,Maybe,Yes,5,5,5,5
11/6/17 14:15,Some practical knowledge.,Equally familiar.,Equally familiar.,Yes,Yes,,,,
11/6/17 14:17,Some practical knowledge.,Equally familiar.,Equally familiar.,Yes,"Yes, but not confident!",3,3,3,3
11/6/17 14:19,None.,Less familiar.,Less familiar.,No,No,1,1,1,1
11/6/17 14:33,Some practical knowledge.,Equally familiar.,Equally familiar.,Yes,Yes,3,3,3,4
11/6/17 15:48,Some practical knowledge.,More familiar.,More familiar.,Yes,Yes,2,3,2,4
11/6/17 15:59,Some practical knowledge.,More familiar.,Equally familiar.,Yes,Yes,2,3,3,3
11/6/17 15:59,Some practical knowledge.,Equally familiar.,Equally familiar.,No,Yes,3,4,3,3
11/6/17 15:59,Some practical knowledge.,More familiar.,More familiar.,Yes,Yes,1,3,3,3
11/6/17 16:00,Some practical knowledge.,Equally familiar.,More familiar.,Yes,Yes,5,5,5,5
11/6/17 16:01,Some practical knowledge.,Equally familiar.,Equally familiar.,Yes,Yes,3,3,4,4
11/6/17 16:01,Some practical knowledge.,More familiar.,,Yes,Yes,3,4,2,3
11/6/17 16:02,Some practical knowledge.,More familiar.,More familiar.,Yes,Yes,3,4,3,4
11/6/17 16:02,Some practical knowledge.,Equally familiar.,Equally familiar.,Yes,Yes,2,3,3,3
11/6/17 16:03,Some practical knowledge.,More familiar.,Equally familiar.,Maybe,"Yes, but not confident!",1,2,1,2
11/6/17 16:10,Some practical knowledge.,Equally familiar.,More familiar.,Maybe,Yes,4,4,4,4
11/6/17 16:27,A great deal!,More familiar.,More familiar.,Yes,Yes,1,3,1,2
11/6/17 19:54,Some practical knowledge.,More familiar.,More familiar.,Maybe,Yes,2,3,2,2
11/6/17 23:50,Some practical knowledge.,More familiar.,Equally familiar.,Yes,Yes,1,2,1,2
11/7/17 11:19,A great deal!,Equally familiar.,More familiar.,Yes,Yes,1,3,2,3
11/7/17 14:53,Some practical knowledge.,Equally familiar.,Equally familiar.,Maybe,Yes,2,2,2,2
